rutina,nivel,n,rep,cycles,instructions,ipc
iter,asm,16,1,42775717,71878535,1.6803
iter,asm,16,2,42723616,71878533,1.6824
iter,asm,16,3,42946291,71878535,1.6736
iter,asm,16,4,42761264,71878533,1.6809
iter,asm,16,5,43101307,71878533,1.6676
iter,asm,16,6,42780714,71878534,1.6801
iter,asm,16,7,42693744,71878535,1.6835
iter,asm,16,8,42765495,71878535,1.6807
iter,asm,16,9,42718405,71878536,1.6826
iter,asm,16,10,42817219,71878535,1.6787
iter,asm,16,11,42866651,71878535,1.6767
iter,asm,16,12,42863135,71878536,1.6769
iter,asm,16,13,42891990,71878534,1.6758
iter,asm,16,14,42854951,71878533,1.6772
iter,asm,16,15,42969389,71878534,1.6727
iter,asm,16,16,43620519,71878547,1.6478
iter,asm,16,17,42871803,71878535,1.6765
iter,asm,16,18,42952452,71878538,1.6734
iter,asm,16,19,43081141,71878537,1.6684
iter,asm,16,20,42735182,71878534,1.6819
iter,asm,16,21,42749861,71878534,1.6813
iter,asm,16,22,42793669,71878533,1.6796
iter,asm,16,23,42829302,71878535,1.6782
iter,asm,16,24,43559053,71878539,1.6501
iter,asm,16,25,43859301,71878535,1.6388
iter,asm,16,26,43653241,71878534,1.6465
iter,asm,16,27,42714565,71878536,1.6827
iter,asm,16,28,42752509,71878536,1.6812
iter,asm,16,29,42972219,71878535,1.6726
iter,asm,16,30,42733674,71878534,1.6820
iter,asm,32,1,41651658,66174386,1.5887
iter,asm,32,2,41774260,66174383,1.5840
iter,asm,32,3,41819918,66174387,1.5823
iter,asm,32,4,41691972,66174392,1.5872
iter,asm,32,5,41817616,66174390,1.5824
iter,asm,32,6,41666825,66174414,1.5881
iter,asm,32,7,41655077,66174386,1.5886
iter,asm,32,8,42102382,66174389,1.5717
iter,asm,32,9,41650744,66174384,1.5887
iter,asm,32,10,41641788,66174387,1.5891
iter,asm,32,11,41649280,66174386,1.5888
iter,asm,32,12,41669414,66174386,1.5880
