n,cycles_per_call,instructions_per_call,branches_per_call,branch_misses_per_call,ipc
1,10.002,17.000,7.000,0.0000,1.700
2,17.003,25.000,10.000,0.0000,1.470
3,23.007,33.000,13.000,0.0001,1.434
4,27.465,41.000,16.000,0.0002,1.493
5,31.138,49.000,19.000,0.0012,1.574
6,35.513,57.000,22.000,0.0003,1.605
7,39.003,65.000,25.000,0.0000,1.667
8,43.192,73.000,28.000,0.0002,1.690
9,52.672,81.000,31.000,0.0001,1.538
10,62.043,89.000,34.000,0.0003,1.434
11,71.035,97.000,37.000,0.0002,1.366
12,76.118,105.000,40.000,0.0003,1.379
13,80.225,113.000,43.000,0.0005,1.409
14,84.019,121.000,46.000,0.0002,1.440
15,88.019,129.000,49.000,0.0002,1.466
16,103.909,137.000,52.000,0.5002,1.318
17,144.590,145.000,55.000,1.1660,1.003
18,210.783,153.000,58.000,2.4278,0.726
19,174.412,161.000,61.000,3.0003,0.923
20,206.992,169.000,64.000,4.1877,0.816
21,259.824,177.000,67.000,5.9918,0.681
22,306.499,185.000,70.000,6.9994,0.604
23,371.507,193.000,73.000,7.9990,0.520
24,372.541,201.000,76.000,8.4847,0.540
25,355.767,209.000,79.000,9.0042,0.587
26,382.428,217.000,82.000,10.0012,0.567
27,409.343,225.000,85.000,11.0003,0.550
28,436.611,233.000,88.000,12.0003,0.534
29,473.538,241.000,91.000,13.0594,0.509
30,554.452,249.000,94.000,14.4200,0.449
31,541.063,257.000,97.000,15.1525,0.475
32,585.845,265.000,100.000,16.9019,0.452
33,608.403,273.000,103.000,17.9997,0.449
34,638.272,281.000,106.000,19.0006,0.440
35,721.425,289.000,109.000,20.0007,0.401
36,714.118,297.000,112.000,20.7762,0.416
37,791.517,305.000,115.000,21.6230,0.385
38,755.612,313.000,118.000,22.1965,0.414
39,753.934,321.000,121.000,23.0025,0.426
40,781.140,329.000,124.000,24.0012,0.421
41,808.393,337.000,127.000,25.0017,0.417
42,836.679,345.000,130.000,26.0032,0.412
43,954.814,353.000,133.000,27.6155,0.370
44,913.727,361.000,136.000,28.6226,0.395
45,957.642,369.000,139.000,29.9566,0.385
46,982.875,377.000,142.000,31.0002,0.384
47,1010.083,385.000,145.000,31.9982,0.381
48,1019.311,393.000,148.000,32.1405,0.386
49,1044.983,401.000,151.000,33.0048,0.384
50,1099.042,409.000,154.000,34.1912,0.372
51,1098.187,417.000,157.000,35.0022,0.380
52,1124.720,425.000,160.000,36.0032,0.378
53,1150.632,433.000,163.000,37.0035,0.376
54,1178.427,441.000,166.000,38.0026,0.374
55,1205.339,449.000,169.000,39.0053,0.373
56,1314.126,457.000,172.000,40.7272,0.348
57,1308.410,465.000,175.000,41.9999,0.355
58,1370.171,473.000,178.000,43.0007,0.345
59,1357.063,481.000,181.000,43.9993,0.354
60,1361.939,489.000,184.000,44.0235,0.359
61,1387.659,497.000,187.000,45.0024,0.358
62,1414.614,505.000,190.000,46.0030,0.357
63,1445.601,513.000,193.000,47.0044,0.355
64,1488.318,521.000,196.000,48.1201,0.350
